Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5",C_1206,3,4.7uF,C29823
C10,C_0603,1,10pF,C1634
"C11, C12",C_1206,2,47uF,C96123
C13,C_0805,1,10uF,C15850
C14,C_0805,1,100nF,C28233
"C2, C8",C_0603,2,100nF,C14663
C4,CP_Radial_D8.0mm_P3.50mm,1,100uF,C112510
C6,C_0805,1,10nF,C1710
C7,C_0603,1,8.2nF,C1322360
C9,C_0805,1,1nF,C46653
"D1, D2",D_0603,2,LED,C2286
D3,SOT-23,1,CDSOT23-SM712,C404012
D4,D_SMA,1,SS34,C8678
"J1, J4",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,2,Screw_Terminal_01x02,C8404
"J10, J11, J12, J13, J14, J15, J16, J5, J6, J7, J8, J9",TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,12,Screw_Terminal_01x02,C695629
"J2, J3",TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,2,Screw_Terminal_01x03,C5188443
L1,L_Bourns_SRP7028A_7.3x6.6mm,1,8.2uH,C167222
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",Q_SOT-23,12,AO3400A,C20917
R1,R_0603,1,220Ω,C22962
R10,R_0603,1,68kΩ,C23231
"R11, R13",R_0603,2,200Ω,C8218
"R12, R16, R17, R19, R21, R23, R25, R27, R29, R3, R31, R33, R35, R37, R39, R4, R41, R8, R9",R_0603,19,10kΩ,C25804
R14,R_0603,1,560Ω,C23204
R15,R_0603,1,1.2kΩ,C22765
"R18, R20, R22, R24, R26, R28, R30, R32, R34, R36, R38, R40",R_0603,12,100Ω,C22775
R2,R_0603,1,1.5kΩ,C22843
"R5, R6",R_0603,2,10Ω,C22859
TP1,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,RS485 RX,
TP2,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,RS485 TX,
TP3,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,3V3,
TP4,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,GND,
TP5,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,5V,
U1,STM32BluePill,1,STM32 Blue Pill,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD485EDR,C27899
U3,SOIC127P600X175-8N,1,TPS54331DR,C9865
